 ,Area,Mean,Min,Max,X,Y
1,0,33,33,33,1153.000,631.000
2,0,255,255,255,1153.500,560.500
3,0,255,255,255,1153.500,421.500
4,0,33,33,33,1152.500,281.500
5,0,33,33,33,1152.500,142.500
6,0,32,32,32,1196.583,631.417
7,0,33,33,33,1373.500,631.500
8,0,33,33,33,1550.833,631.500
9,0,32,32,32,1726.833,631.500
10,0,255,255,255,1346.500,266.000
11,0,255,255,255,1356.500,324.500
12,0,255,255,255,1378.500,329.500
13,0,255,255,255,1474.500,315.500
14,0,255,255,255,1482.167,356.833
15,0,255,255,255,1496.167,391.833
16,0,255,255,255,1488.500,392.500
17,0,255,255,255,1580.000,320.500
18,0,255,255,255,1614.000,342.000
19,0,255,255,255,1643.250,386.500
20,0,255,255,255,1599.500,393.750
21,0,254,254,254,1601.000,420.250
22,0,150,150,150,1432.500,376.500
23,0,150,150,150,1462.333,349.667
24,0,150,150,150,1505.167,348.500
25,0,150,150,150,1512.333,314.667
26,0,150,150,150,1533.167,329.500
27,0,149,149,149,1547.167,361.833
28,0,150,150,150,1521.500,393.500
29,0,150,150,150,1583.000,350.000
30,0,150,150,150,1659.500,436.000
31,0,150,150,150,1682.500,426.000
32,0,150,150,150,1687.500,409.500
33,0,150,150,150,1720.500,387.000
34,0,33,33,33,190.500,629.500
35,0,255,255,255,190.500,560.500
36,0,32,32,32,189.500,420.500
37,0,33,33,33,189.500,280.500
38,0,33,33,33,189.500,141.500
39,0,33,33,33,454.833,356.833
40,0,33,33,33,454.833,342.833
41,0,33,33,33,720.833,346.833
42,0,33,33,33,721.500,329.500
