 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,204_Iino.png,0.000E0,2.180E2,5.335E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.180E2,5.335E2,0.000E0,0.000E0,0.000,0.000,NaN
2,204_Iino.png,0.000E0,3.885E2,5.335E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,3.885E2,5.335E2,0.000E0,0.000E0,0.000,0.000,NaN
3,204_Iino.png,0.000E0,5.575E2,5.325E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,5.575E2,5.325E2,0.000E0,0.000E0,0.000,0.000,NaN
4,204_Iino.png,0.000E0,7.280E2,5.330E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,7.280E2,5.330E2,0.000E0,0.000E0,0.000,0.000,NaN
5,204_Iino.png,0.000E0,2.160E2,4.090E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.160E2,4.090E2,0.000E0,0.000E0,0.000,0.000,NaN
6,204_Iino.png,0.000E0,2.155E2,2.870E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.155E2,2.870E2,0.000E0,0.000E0,0.000,0.000,NaN
7,204_Iino.png,0.000E0,2.150E2,1.640E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,2.150E2,1.640E2,0.000E0,0.000E0,0.000,0.000,NaN
8,204_Iino.png,0.000E0,8.240E2,3.210E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,8.240E2,3.210E2,0.000E0,0.000E0,0.000,0.000,NaN
9,204_Iino.png,0.000E0,7.965E2,3.095E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,7.965E2,3.095E2,0.000E0,0.000E0,0.000,0.000,NaN
10,204_Iino.png,0.000E0,7.918E2,2.855E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,7.918E2,2.855E2,0.000E0,0.000E0,0.000,0.000,NaN
11,204_Iino.png,0.000E0,7.705E2,2.785E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,7.705E2,2.785E2,0.000E0,0.000E0,0.000,0.000,NaN
12,204_Iino.png,0.000E0,7.358E2,2.118E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,7.358E2,2.118E2,0.000E0,0.000E0,0.000,0.000,NaN
13,204_Iino.png,0.000E0,8.282E2,1.942E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,8.282E2,1.942E2,0.000E0,0.000E0,0.000,0.000,NaN
14,204_Iino.png,0.000E0,7.455E2,1.525E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,7.455E2,1.525E2,0.000E0,0.000E0,0.000,0.000,NaN
15,204_Iino.png,0.000E0,7.242E2,1.305E2,0.000E0,1.128E0,1.128E0,0.000E0,0.000,0.000E0,7.242E2,1.305E2,0.000E0,0.000E0,0.000,0.000,NaN
