 ,Area,Mean,Min,Max,X,Y
1,0,97,97,97,618.333,1354.000
2,0,33,33,33,639.667,1352.667
3,0,206,206,206,659.000,1353.333
4,0,206,206,206,679.667,1353.333
5,0,33,33,33,699.000,1352.667
6,0,83,83,83,718.333,1353.333
7,0,33,33,33,737.667,1352.000
8,0,33,33,33,758.333,1352.000
9,0,33,33,33,749.000,130.000
10,0,33,33,33,741.500,133.500
11,0,33,33,33,739.500,147.500
12,0,33,33,33,751.000,152.000
13,0,33,33,33,701.500,162.000
14,0,33,33,33,746.500,553.500
15,0,33,33,33,701.000,560.500
16,0,33,33,33,695.000,561.000
17,0,33,33,33,695.000,568.500
18,0,33,33,33,695.500,576.500
19,0,33,33,33,657.000,592.500
20,0,33,33,33,657.000,599.500
21,0,33,33,33,657.000,605.500
22,0,33,33,33,657.000,612.500
23,0,33,33,33,743.000,1029.500
24,0,33,33,33,735.500,1033.500
25,0,33,33,33,697.500,1033.000
26,0,33,33,33,698.500,1038.500
27,0,33,33,33,697.500,1042.000
28,0,33,33,33,690.500,1042.000
29,0,33,33,33,698.000,1067.000
30,0,33,33,33,687.500,1068.500
31,0,255,255,255,706.500,1080.500
