 ,Area,Mean,Min,Max,X,Y
1,0,33,33,33,214,342
2,0,255,255,255,217,288
3,0,33,33,33,216,238
4,0,33,33,33,214,188
5,0,33,33,33,216,136
6,0,51,51,51,296.333,224
7,0,33,33,33,599,220
8,0,154,154,154,699,218.667
9,0,255,255,255,920.333,205.333
10,0,33,33,33,214,765
11,0,33,33,33,215,715
12,0,33,33,33,214,664
13,0,33,33,33,214,613
14,0,127,127,127,928,671
15,0,33,33,33,213,1195
16,0,33,33,33,213,1144
17,0,33,33,33,213,1092
18,0,33,33,33,213,1040
19,0,33,33,33,929,981
20,0,33,33,33,213.333,1618.667
21,0,33,33,33,211.333,1566.667
22,0,33,33,33,210.667,1515.333
23,0,33,33,33,211.333,1464.667
24,0,141,141,141,256,1446.667
25,0,33,33,33,212,2045
26,0,33,33,33,212,1995.667
27,0,33,33,33,211.333,1944.333
28,0,33,33,33,210.667,1893
29,0,33,33,33,927.667,1903.333
30,0,33,33,33,212,2473
31,0,33,33,33,211,2421
32,0,33,33,33,210,2370
33,0,33,33,33,211,2320
34,0,33,33,33,566,2238
35,0,33,33,33,638,2246
36,0,206,206,206,665,2220
37,0,98,98,98,878.667,2260.333
38,0,33,33,33,1083,340.333
39,0,33,33,33,1083,288.333
40,0,33,33,33,1082.333,237.667
41,0,33,33,33,1082.333,187
42,0,33,33,33,1080.333,134.333
43,0,50,50,50,1198,223
44,0,98,98,98,1788,220
45,0,32,32,32,1082.5,766.5
46,0,33,33,33,1080.5,716.5
47,0,33,33,33,1081.5,665
48,0,33,33,33,1081,615
49,0,33,33,33,1081.5,564
50,0,33,33,33,1605,538
51,0,33,33,33,1677,558
52,0,154,154,154,1749,515
53,0,33,33,33,1084.333,1193.333
54,0,33,33,33,1083.667,1144
55,0,33,33,33,1083.667,1091.333
56,0,33,33,33,1082.333,1040.667
57,0,33,33,33,1083,989.333
58,0,33,33,33,1386,1123
59,0,181,181,181,1403.333,1125.667
60,0,33,33,33,1082,1619
61,0,33,33,33,1082,1569
62,0,33,33,33,1082,1515
63,0,33,33,33,1082,1466
64,0,33,33,33,1690,1460
65,0,33,33,33,1084,2046
66,0,33,33,33,1083.333,1993.333
67,0,33,33,33,1082.667,1944
68,0,33,33,33,1082.667,1890.667
69,0,33,33,33,1109.5,1971
70,0,33,33,33,1272.667,1929
71,0,33,33,33,1587.333,1943
72,0,154,154,154,1795,1924
