 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,433.667,929.333
2,0,4,4,4,431.000,888.667
3,0,0,0,0,429.667,848.667
4,0,28,28,28,430.333,809.333
5,0,162,162,162,475.667,688.667
6,0,170,170,170,548.333,710.667
7,0,213,213,213,560.333,699.333
8,0,216,216,216,631.000,692.667
9,0,92,92,92,724.333,696.000
10,0,102,102,102,754.000,713.667
11,0,195,195,195,978.667,687.667
12,0,185,185,185,991.333,687.667
13,0,0,0,0,1317.500,923.500
14,0,46,46,46,1315.500,886.000
15,0,64,64,64,1317.000,845.500
16,0,0,0,0,1315.000,807.500
17,0,170,170,170,1376.000,752.000
18,0,105,105,105,1458.667,759.333
19,0,179,179,179,1513.333,750.667
20,0,133,133,133,1582.000,764.000
21,0,182,182,182,1611.333,758.667
22,0,144,144,144,1852.667,765.333
23,0,155,155,155,1911.333,758.667
24,0,184,184,184,1969.333,766.667
