 ,Area,Mean,Min,Max,X,Y
1,0,5,5,5,305,553
2,0,5,5,5,305,493
3,0,7,7,7,305,429
4,0,0,0,0,302,365
5,0,31,31,31,300,302
6,0,7,7,7,305,241
7,0,202,202,202,423,294
8,0,194,194,194,458,321
9,0,244,244,244,531,335
10,0,168,168,168,681,329
11,0,245,245,245,749,404
12,0,136,136,136,906,330
13,0,172,172,172,1170,329
14,0,235,235,235,1303,332
15,0,0,0,0,1696,533
16,0,36,36,36,1699,471
17,0,0,0,0,1699,415
18,0,28,28,28,1695,351
19,0,229,229,229,1728,269
20,0,233,233,233,1894,270
21,0,227,227,227,2033,271
22,0,218,218,218,2049,270
23,0,250,250,250,2214,298
24,0,191,191,191,2463,292
25,0,185,185,185,2586,294
26,0,252,252,252,2744.333,290.667
