 ,Area,Mean,Min,Max,X,Y,
1,0,4,4,4,512,574,
2,0,3,3,3,514,506.667,
3,0,0,0,0,514,468.667,
4,0,4,4,4,515.333,441.333,
5,0,11,11,11,516.667,416.667,
6,0,3,3,3,515.333,400.667,
7,0,79,79,79,512.667,383.333,
8,0,0,0,0,516,373.333,
9,0,7,7,7,514,360.667,
10,0,4,4,4,515.333,353.333,
11,0,2,2,2,516,282.667,
12,0,0,0,0,516,242,
13,0,1,1,1,516,214.667,
14,0,5,5,5,516,192.667,
15,0,0,0,0,516.667,175.333,
16,0,0,0,0,516.667,159.333,
17,0,0,0,0,517.333,147.333,
18,0,0,0,0,516.667,135.333,
19,0,1,1,1,516.667,124.667,
20,0,6,6,6,516,58,
21,0,215,215,215,373.333,480,this is a floating spot
22,0,0,0,0,725.333,60,
23,0,0,0,0,876.667,113.333,
24,0,18,18,18,879.333,193.333,
25,0,78,78,78,880,64.667,
26,0,5,5,5,1029.333,206.667,
27,0,12,12,12,1028.667,418,
28,0,34,34,34,1028.667,143.333,
29,0,3,3,3,1104,199.333,
30,0,1,1,1,1104,575.333,
31,0,69,69,69,1104.667,98.667,
32,0,9,9,9,739.333,137.333,
33,0,97,97,97,738.667,275.333,
34,0,105,105,105,738.667,81.333,
35,0,7,7,7,889.333,239.333,
36,0,0,0,0,888,573.333,
37,0,16,16,16,890.667,161.333,
38,0,53,53,53,1040.667,471.333,
39,0,0,0,0,1041.333,574,
40,0,0,0,0,1042.667,390.667,
41,0,156,156,156,1116.667,432,
42,0,18,18,18,1117.333,572.667,
43,0,9,9,9,1118,336,
