 ,Area,Mean,Min,Max,X,Y,
1,0,255,255,255,816,972,not part of the tracks
2,0,255,255,255,263.333,1562.333,
3,0,255,255,255,354,1561,
4,0,255,255,255,450.667,1561.667,
5,0,33,33,33,679.667,154.667,
6,0,33,33,33,600.333,416,
7,0,32,32,32,675.667,601.333,
8,0,33,33,33,638.333,785.333,
9,0,33,33,33,602.333,1004,
10,0,33,33,33,598.333,1209.333,
11,0,33,33,33,639.667,1467.333,
12,0,33,33,33,998,152,
13,0,33,33,33,1144,393,
14,0,33,33,33,1064,586,
15,0,33,33,33,958,782,
16,0,33,33,33,996,997,
17,0,33,33,33,1161,1290,
18,0,33,33,33,1149,1483,
19,0,255,255,255,744,1563,
20,0,255,255,255,829,1562,
21,0,255,255,255,922,1561,
