 ,Area,Mean,Min,Max,X,Y
1,0,0,0,0,253.333,718.000
2,0,0,0,0,253.333,564.667
3,0,91,91,91,252.000,412.000
4,0,0,0,0,396.667,394.667
5,0,0,0,0,396.667,463.333
6,0,0,0,0,539.333,382.667
7,0,0,0,0,540.667,465.333
8,0,0,0,0,684.000,420.667
9,0,0,0,0,684.000,518.667
10,0,157,157,157,828.000,475.667
11,0,0,0,0,827.333,528.333
12,0,0,0,0,970.667,459.667
13,0,0,0,0,970.000,541.000
14,0,0,0,0,397.000,433.000
15,0,0,0,0,396.500,544.500
16,0,0,0,0,541.000,344.500
17,0,156,156,156,541.333,488.667
18,0,0,0,0,684.667,405.333
19,0,255,255,255,686.000,537.333
20,0,0,0,0,828.500,409.000
21,0,0,0,0,827.000,553.500
22,0,0,0,0,970.500,476.500
23,0,0,0,0,970.000,595.000
