 ,Area,Mean,Min,Max,X,Y
1,0,31,31,31,264.000,610.333
2,0,30,30,30,264.000,477.000
3,0,30,30,30,264.667,345.667
4,0,30,30,30,264.000,213.000
5,0,30,30,30,361.333,320.000
6,0,30,30,30,364.667,307.333
7,0,30,30,30,367.333,278.667
8,0,31,31,31,380.000,305.333
9,0,30,30,30,410.000,300.000
10,0,30,30,30,429.333,264.667
11,0,30,30,30,446.000,336.000
12,0,30,30,30,478.667,298.667
13,0,31,31,31,492.000,278.667
14,0,30,30,30,502.000,351.333
15,0,31,31,31,544.667,341.333
16,0,30,30,30,541.333,286.000
17,0,30,30,30,531.333,258.000
18,0,30,30,30,554.667,278.667
19,0,30,30,30,574.000,264.000
20,0,30,30,30,584.000,278.000
21,0,30,30,30,590.000,292.000
22,0,31,31,31,613.333,162.667
23,0,30,30,30,671.500,234.500
24,0,31,31,31,681.000,278.500
25,0,30,30,30,835.000,291.500
26,0,30,30,30,874.000,356.500
27,0,30,30,30,1051.333,279.000
28,0,30,30,30,1052.000,293.000
29,0,30,30,30,265.000,637.000
30,0,31,31,31,462.000,637.000
31,0,30,30,30,658.000,637.000
32,0,30,30,30,854.000,637.667
33,0,30,30,30,1051.333,636.333
