 ,Area,Mean,Min,Max,X,Y
1,0,255,255,255,241.333,1196.333
2,0,0,0,0,236.000,901.667
3,0,0,0,0,234.667,611.000
4,0,153,153,153,335.000,773.000
5,0,55,55,55,368.000,810.000
6,0,0,0,0,457.000,636.000
7,0,0,0,0,489.000,682.000
8,0,255,255,255,581.000,759.000
9,0,0,0,0,612.000,759.000
10,0,255,255,255,702.000,756.000
11,0,197,197,197,738.000,760.000
12,0,232,232,232,832.000,703.000
13,0,255,255,255,861.000,704.000
14,0,236,236,236,1123.000,1191.000
15,0,0,0,0,1122.333,900.000
16,0,0,0,0,1122.333,609.333
17,0,0,0,0,1204.000,787.000
18,0,236,236,236,1234.000,725.000
19,0,0,0,0,1263.000,733.000
20,0,0,0,0,1325.000,717.000
21,0,255,255,255,1357.000,686.000
22,0,0,0,0,1385.000,675.000
23,0,243,243,243,1631.000,1191.000
24,0,0,0,0,1630.000,897.000
25,0,0,0,0,1629.000,608.000
26,0,0,0,0,1724.000,569.000
27,0,111,111,111,1755.000,575.000
28,0,0,0,0,1848.000,617.000
29,0,255,255,255,1877.000,624.000
30,0,0,0,0,1970.000,570.000
31,0,0,0,0,2004.000,568.000
32,0,173,173,173,2095.000,639.000
33,0,0,0,0,2126.000,620.000
