"Species_latin","Test_performance2","min_swim_speedCM","max_swim_speedCM","mean_swim_speedCM","count_swim","min_LengthCM","max_LengthCM","mean_LengthCM","min_Sizekg","max_Sizekg","mean_Sizekg","min_Temp","max_Temp","mean_Temp"
"Oncorhynchus gorbuscha","Field",32.6474,180.9945,92.9993141752708,24,49.05,79.6,59.2354166666667,1.18,4.45,2.654,9.45,14.65,12.4833333333333
"Oncorhynchus gorbuscha","Ucrit",62.2255281,173.9256232,116.713998769833,60,46.1,55.5,52.6058333333333,1.361,1.823,1.71777586206897,8.992989136,22.00021279,14.1683260223051
"Oncorhynchus gorbuscha","Umax",65.073840558,199.081699077,140.548669931114,132,51,51,51,1.6,1.6,1.6,7.188708859,28.16423514,17.55508423525
"Oncorhynchus keta","Field",33.58013507625,533.4,135.578082151141,27,35.56,68.7,60.2729166666667,1.55,2.32,2.03333333333333,9.45,19.35,13.8617283955556
"Oncorhynchus keta","Swim",155.448,219.456,190.217777777778,27,44.45,67.31,56.3738888888889,Inf,-Inf,NA,10.13888889,10.13888889,10.13888889
"Oncorhynchus keta","Ucrit",78.2942295058,174.6088098484,104.727560055038,28,59.55397456,71.78948099,63.9102000353571,1.9,2.86,2.38,8,20,12.7685185185185
"Oncorhynchus kisutch","Field",67.056,106.68,85.344,6,Inf,-Inf,NA,Inf,-Inf,NA,19.35,19.35,19.35
"Oncorhynchus kisutch","Ucrit",50,176.7617473,121.341347683014,118,49.8,71.4,57.9,1.357,4.108,2.20208547008547,4.686683783,18.30006704,10.9530644288475
"Oncorhynchus kisutch","Umax",121.8464000202,187,143.822095239057,21,60.6,66,62.9142857142857,2.56,2.56,2.56,10,15,13.1428571428571
"Oncorhynchus masou","Field",58.1385,77.211,67.645875,4,51.45,55.95,53.7,Inf,-Inf,NA,Inf,-Inf,NA
"Oncorhynchus masou","Ucrit",100.737,100.737,100.737,1,53.3,53.3,53.3,1.7,1.7,1.7,12.75,12.75,12.75
"Oncorhynchus mykiss","Field",66.45729302,816.864,317.776648277857,14,34.75,81.28,51.9628571428571,Inf,-Inf,NA,17.35,19.44444444,18.1484126992857
"Oncorhynchus mykiss","Ucrit",36.036,152.8333333,76.9458876476033,187,30.1,51,37.880628613505,0.437,1.471,0.638241149102703,5,19,9.63983957219251
"Oncorhynchus mykiss","Umax",70.6,93.6,85.86,5,34.9099209783364,34.9099209783364,34.9099209783364,0.452,0.452,0.452,9.5,10,9.76
"Oncorhynchus nerka","Field",6.454767365,749.259653825063,117.099289333491,253,52.2554817069012,73.1,58.8478281600179,1.68,2.8,2.01383838383838,9.5,19.85,17.037982832618
"Oncorhynchus nerka","Jump",114,546,328,9,29,59.5,49.3333333333333,0.28,2.7,1.89333333333333,Inf,-Inf,NA
"Oncorhynchus nerka","Swim",112.776,216.408,176.724235294118,51,54.61,75.565,64.4338235294118,Inf,-Inf,NA,14.44444444,14.58333333,14.5234204754902
"Oncorhynchus nerka","Ucrit",37.0013251722116,197.3001871,116.219146510923,289,41.8,64.2,59.4006816409743,0.746,3.56,2.33599277978339,9.5,25.6,15.8910366113841
"Oncorhynchus spp.","Field",82.296,88.392,85.344,2,Inf,-Inf,NA,Inf,-Inf,NA,19.35,19.35,19.35
"Oncorhynchus tshawytscha","Field",70.6,667.512,278.475933752,50,50.8,96.52,77.3284,5.9,6,5.91590909090909,10,19.44444444,11.59
"Oncorhynchus tshawytscha","Ucrit",55.965,230,178.958391309091,33,45.5,95.1968468299154,73.4512348502209,1.31,11.5,5.04606060606061,8,20,13.296875
"Salmo salar","Field",323.9,406,357.866666666667,3,51.2,51.2,51.2,1.16,1.16,1.16,10.1,10.1,10.1
"Salmo salar","Swim",91,237.5731995648,189.025922012504,15,40,59.58,52.2199508455353,0.84742,1.76,1.41444214285714,11.2,12.5,12.4133333333333
"Salmo salar","Ucrit",58.48,234.743833,119.279726201705,253,27.8,63.8,40.9305083867978,0.00135,2.535,0.781679941021277,3,23,12.1950197628459
